Name,Extremity,Position
002_MULTIS008-1,UA,AP
003_MULTIS008-1,UA,AC
006_MULTIS008-1,UA,AD
007_MULTIS008-1,UA,LP
008_MULTIS008-1,UA,LC
009_MULTIS008-1,UA,LD
010_MULTIS008-1,UA,MP
013_MULTIS008-1,UA,MC
014_MULTIS008-1,UA,MD
015_MULTIS008-1,LA,AP
016_MULTIS008-1,LA,AC
018_MULTIS008-1,LA,AD
022_MULTIS008-1,LA,LP
023_MULTIS008-1,LA,LC
024_MULTIS008-1,LA,LD
025_MULTIS008-1,LA,MP
026_MULTIS008-1,LA,MC
027_MULTIS008-1,LA,MD
028_MULTIS008-1,LL,LP
029_MULTIS008-1,LL,LC
030_MULTIS008-1,LL,LD
031_MULTIS008-1,LL,AD
032_MULTIS008-1,LL,MD
033_MULTIS008-1,LA,PP
034_MULTIS008-1,LA,PC
036_MULTIS008-1,LA,PD
037_MULTIS008-1,LL,PD
038_MULTIS008-1,UL,PP
041_MULTIS008-1,UL,PC
043_MULTIS008-1,UL,PD
044_MULTIS008-1,LL,PP
045_MULTIS008-1,LL,PC
047_MULTIS008-1,UA,PP
048_MULTIS008-1,UA,PC
051_MULTIS008-1,UA,PD
052_MULTIS008-1,UL,AP
053_MULTIS008-1,UL,AC
055_MULTIS008-1,UL,AD
056_MULTIS008-1,UL,LP
057_MULTIS008-1,UL,LC
058_MULTIS008-1,UL,LD
061_MULTIS008-1,UL,MP
062_MULTIS008-1,UL,MC
063_MULTIS008-1,UL,MD
064_MULTIS008-1,LL,AP
065_MULTIS008-1,LL,AC
067_MULTIS008-1,LL,MP
068_MULTIS008-1,LL,MC
