Name,Extremity,Position
003_MULTIS039-1,UA,AP
004_MULTIS039-1,UA,AC
006_MULTIS039-1,UA,AD
007_MULTIS039-1,UA,LP
008_MULTIS039-1,UA,LC
009_MULTIS039-1,UA,LD
010_MULTIS039-1,UA,MP
012_MULTIS039-1,UA,MC
013_MULTIS039-1,UA,MD
014_MULTIS039-1,LA,AP
015_MULTIS039-1,LA,AC
019_MULTIS039-1,LA,AD
020_MULTIS039-1,LA,LP
021_MULTIS039-1,LA,LC
022_MULTIS039-1,LA,LD
023_MULTIS039-1,LA,MP
024_MULTIS039-1,LA,MC
025_MULTIS039-1,LA,MD
026_MULTIS039-1,LL,LP
027_MULTIS039-1,LL,LC
028_MULTIS039-1,LL,LD
029_MULTIS039-1,LL,AD
030_MULTIS039-1,LL,MD
031_MULTIS039-1,LA,PP
032_MULTIS039-1,LA,PC
034_MULTIS039-1,LA,PD
035_MULTIS039-1,LL,PD
036_MULTIS039-1,UL,PP
037_MULTIS039-1,UL,PC
040_MULTIS039-1,UL,PD
041_MULTIS039-1,LL,PP
042_MULTIS039-1,LL,PC
044_MULTIS039-1,UA,PP
045_MULTIS039-1,UA,PC
047_MULTIS039-1,UA,PD
048_MULTIS039-1,UL,AP
049_MULTIS039-1,UL,AC
051_MULTIS039-1,UL,AD
052_MULTIS039-1,UL,LP
053_MULTIS039-1,UL,LC
054_MULTIS039-1,UL,LD
055_MULTIS039-1,UL,MP
056_MULTIS039-1,UL,MC
057_MULTIS039-1,UL,MD
058_MULTIS039-1,LL,AP
059_MULTIS039-1,LL,AC
061_MULTIS039-1,LL,MP
062_MULTIS039-1,LL,MC
