Name,Extremity,Position
001_MULTIS020-1,UA,AP
002_MULTIS020-1,UA,AC
004_MULTIS020-1,UA,AD
006_MULTIS020-1,UA,LC
007_MULTIS020-1,UA,LD
008_MULTIS020-1,UA,MP
009_MULTIS020-1,UA,MC
010_MULTIS020-1,UA,MD
011_MULTIS020-1,LA,AP
012_MULTIS020-1,LA,AC
014_MULTIS020-1,LA,AD
015_MULTIS020-1,LA,LP
016_MULTIS020-1,LA,LC
017_MULTIS020-1,LA,LD
018_MULTIS020-1,LA,MP
019_MULTIS020-1,LA,MC
020_MULTIS020-1,LA,MD
021_MULTIS020-1,LL,LP
022_MULTIS020-1,LL,LC
023_MULTIS020-1,LL,LD
024_MULTIS020-1,LL,AD
026_MULTIS020-1,LA,PP
027_MULTIS020-1,LA,PC
029_MULTIS020-1,LA,PD
030_MULTIS020-1,LL,PD
031_MULTIS020-1,UL,PP
032_MULTIS020-1,UL,PC
035_MULTIS020-1,UL,PD
036_MULTIS020-1,LL,PP
037_MULTIS020-1,LL,PC
039_MULTIS020-1,UA,PP
040_MULTIS020-1,UA,PC
042_MULTIS020-1,UA,PD
043_MULTIS020-1,UA,LP
044_MULTIS020-1,LL,MD
045_MULTIS020-1,UL,AP
047_MULTIS020-1,UL,AC
049_MULTIS020-1,UL,AD
050_MULTIS020-1,UL,LP
051_MULTIS020-1,UL,LC
052_MULTIS020-1,UL,LD
053_MULTIS020-1,UL,MP
054_MULTIS020-1,UL,MC
055_MULTIS020-1,UL,MD
056_MULTIS020-1,LL,AP
059_MULTIS020-1,LL,AC
062_MULTIS020-1,LL,MP
064_MULTIS020-1,LL,MC
