Name,Extremity,Position
001_MULTIS053-1,UA,AP
002_MULTIS053-1,UA,AC
004_MULTIS053-1,UA,AD
005_MULTIS053-1,UA,LP
006_MULTIS053-1,UA,LC
007_MULTIS053-1,UA,LD
008_MULTIS053-1,UA,MP
009_MULTIS053-1,UA,MC
010_MULTIS053-1,UA,MD
011_MULTIS053-1,LA,AP
012_MULTIS053-1,LA,AC
014_MULTIS053-1,LA,AD
015_MULTIS053-1,LA,LP
016_MULTIS053-1,LA,LC
017_MULTIS053-1,LA,LD
018_MULTIS053-1,LA,MP
021_MULTIS053-1,LA,MC
022_MULTIS053-1,LA,MD
023_MULTIS053-1,LL,LP
024_MULTIS053-1,LL,LC
025_MULTIS053-1,LL,LD
026_MULTIS053-1,LL,AD
027_MULTIS053-1,LL,MD
029_MULTIS053-1,LA,PP
030_MULTIS053-1,LA,PC
032_MULTIS053-1,LA,PD
033_MULTIS053-1,LL,PD
034_MULTIS053-1,UL,PP
035_MULTIS053-1,UL,PC
037_MULTIS053-1,UL,PD
038_MULTIS053-1,LL,PP
039_MULTIS053-1,LL,PC
041_MULTIS053-1,UA,PP
042_MULTIS053-1,UA,PC
044_MULTIS053-1,UA,PD
045_MULTIS053-1,UL,AP
046_MULTIS053-1,UL,AC
048_MULTIS053-1,UL,AD
050_MULTIS053-1,UL,LP
051_MULTIS053-1,UL,LC
052_MULTIS053-1,UL,LD
053_MULTIS053-1,UL,MP
054_MULTIS053-1,UL,MC
055_MULTIS053-1,UL,MD
056_MULTIS053-1,LL,AP
057_MULTIS053-1,LL,AC
059_MULTIS053-1,LL,MP
060_MULTIS053-1,LL,MC
