Name,Extremity,Position
002_MULTIS068-1,UA,AP
003_MULTIS068-1,UA,AC
005_MULTIS068-1,UA,AD
006_MULTIS068-1,UA,LP
007_MULTIS068-1,UA,LC
008_MULTIS068-1,UA,LD
009_MULTIS068-1,UA,MP
010_MULTIS068-1,UA,MC
011_MULTIS068-1,UA,MD
012_MULTIS068-1,LA,AP
013_MULTIS068-1,LA,AC
015_MULTIS068-1,LA,AD
016_MULTIS068-1,LA,LP
017_MULTIS068-1,LA,LC
018_MULTIS068-1,LA,LD
019_MULTIS068-1,LA,MP
020_MULTIS068-1,LA,MC
021_MULTIS068-1,LA,MD
022_MULTIS068-1,LL,LP
023_MULTIS068-1,LL,LC
024_MULTIS068-1,LL,LD
025_MULTIS068-1,LL,AD
026_MULTIS068-1,LL,MD
027_MULTIS068-1,LA,PP
028_MULTIS068-1,LA,PC
030_MULTIS068-1,LA,PD
032_MULTIS068-1,LL,PD
033_MULTIS068-1,UL,PP
034_MULTIS068-1,UL,PC
036_MULTIS068-1,UL,PD
037_MULTIS068-1,LL,PP
038_MULTIS068-1,LL,PC
040_MULTIS068-1,UA,PP
041_MULTIS068-1,UA,PC
043_MULTIS068-1,UA,PD
044_MULTIS068-1,UL,AP
045_MULTIS068-1,UL,AC
047_MULTIS068-1,UL,AD
048_MULTIS068-1,UL,LP
049_MULTIS068-1,UL,LC
050_MULTIS068-1,UL,LD
051_MULTIS068-1,UL,MP
052_MULTIS068-1,UL,MC
053_MULTIS068-1,UL,MD
054_MULTIS068-1,LL,AP
055_MULTIS068-1,LL,AC
059_MULTIS068-1,LL,MP
060_MULTIS068-1,LL,MC
