Name,Extremity,Position
001_MULTIS032-1,UA,AP
002_MULTIS032-1,UA,AC
004_MULTIS032-1,UA,AD
006_MULTIS032-1,UA,LP
007_MULTIS032-1,UA,LC
008_MULTIS032-1,UA,LD
009_MULTIS032-1,UA,MP
010_MULTIS032-1,UA,MC
011_MULTIS032-1,UA,MD
012_MULTIS032-1,LA,AP
013_MULTIS032-1,LA,AC
015_MULTIS032-1,LA,AD
016_MULTIS032-1,LA,LP
017_MULTIS032-1,LA,LC
018_MULTIS032-1,LA,LD
019_MULTIS032-1,LA,MP
020_MULTIS032-1,LA,MC
021_MULTIS032-1,LA,MD
023_MULTIS032-1,LL,LP
024_MULTIS032-1,LL,LC
025_MULTIS032-1,LL,LD
026_MULTIS032-1,LL,AD
029_MULTIS032-1,LL,MD
030_MULTIS032-1,LA,PP
031_MULTIS032-1,LA,PC
034_MULTIS032-1,LA,PD
035_MULTIS032-1,LL,PD
036_MULTIS032-1,UL,PP
037_MULTIS032-1,UL,PC
041_MULTIS032-1,UL,PD
042_MULTIS032-1,LL,PP
044_MULTIS032-1,LL,PC
046_MULTIS032-1,UA,PP
047_MULTIS032-1,UA,PC
049_MULTIS032-1,UA,PD
050_MULTIS032-1,UL,AP
051_MULTIS032-1,UL,AC
054_MULTIS032-1,UL,AD
055_MULTIS032-1,UL,LP
056_MULTIS032-1,UL,LC
057_MULTIS032-1,UL,LD
058_MULTIS032-1,UL,MP
059_MULTIS032-1,UL,MC
060_MULTIS032-1,UL,MD
061_MULTIS032-1,LL,AP
062_MULTIS032-1,LL,AC
067_MULTIS032-1,LL,MP
069_MULTIS032-1,LL,MC
