Name,Extremity,Position
001_MULTIS086-1,UA,AP
002_MULTIS086-1,UA,AC
004_MULTIS086-1,UA,AD
005_MULTIS086-1,UA,LP
006_MULTIS086-1,UA,LC
007_MULTIS086-1,UA,LD
008_MULTIS086-1,UA,MP
009_MULTIS086-1,UA,MC
010_MULTIS086-1,UA,MD
011_MULTIS086-1,LA,AP
012_MULTIS086-1,LA,AC
015_MULTIS086-1,LA,AD
016_MULTIS086-1,LA,LP
017_MULTIS086-1,LA,LC
018_MULTIS086-1,LA,LD
019_MULTIS086-1,LA,MP
020_MULTIS086-1,LA,MC
021_MULTIS086-1,LA,MD
022_MULTIS086-1,LL,LP
023_MULTIS086-1,LL,LC
024_MULTIS086-1,LL,LD
025_MULTIS086-1,LL,AD
026_MULTIS086-1,LL,MD
027_MULTIS086-1,LA,PP
028_MULTIS086-1,LA,PC
030_MULTIS086-1,LA,PD
031_MULTIS086-1,LL,PD
032_MULTIS086-1,UL,PP
033_MULTIS086-1,UL,PC
035_MULTIS086-1,UL,PD
036_MULTIS086-1,LL,PP
037_MULTIS086-1,LL,PC
039_MULTIS086-1,UA,PP
040_MULTIS086-1,UA,PC
042_MULTIS086-1,UA,PD
043_MULTIS086-1,UL,AP
044_MULTIS086-1,UL,AC
046_MULTIS086-1,UL,AD
047_MULTIS086-1,UL,LP
048_MULTIS086-1,UL,LC
049_MULTIS086-1,UL,LD
050_MULTIS086-1,UL,MP
051_MULTIS086-1,UL,MC
052_MULTIS086-1,UL,MD
053_MULTIS086-1,LL,AP
054_MULTIS086-1,LL,AC
056_MULTIS086-1,LL,MP
057_MULTIS086-1,LL,MC
