Name,Extremity,Position
003_MULTIS004-1,UA,AC
005_MULTIS004-1,UA,AD
006_MULTIS004-1,UA,AP
008_MULTIS004-1,LA,AP
011_MULTIS004-1,LA,AC
014_MULTIS004-1,LA,AD
017_MULTIS004-1,LL,AD
018_MULTIS004-1,LL,LD
020_MULTIS004-1,LL,MD
022_MULTIS004-1,UA,LP
023_MULTIS004-1,UA,LC
025_MULTIS004-1,UA,LD
026_MULTIS004-1,LA,LP
027_MULTIS004-1,LA,LC
028_MULTIS004-1,LA,LD
029_MULTIS004-1,UA,MP
030_MULTIS004-1,UA,MC
031_MULTIS004-1,UA,MD
033_MULTIS004-1,LA,MP
035_MULTIS004-1,LA,MC
037_MULTIS004-1,LA,MD
038_MULTIS004-1,LA,PP
040_MULTIS004-1,LA,PC
043_MULTIS004-1,LA,PD
045_MULTIS004-1,LL,PD
047_MULTIS004-1,UA,PP
048_MULTIS004-1,UA,PC
051_MULTIS004-1,UA,PD
052_MULTIS004-1,UL,PP
053_MULTIS004-1,UL,PC
055_MULTIS004-1,UL,PD
056_MULTIS004-1,LL,PP
058_MULTIS004-1,LL,PC
060_MULTIS004-1,UL,AP
061_MULTIS004-1,UL,AC
063_MULTIS004-1,UL,AD
065_MULTIS004-1,LL,AP
066_MULTIS004-1,LL,AC
068_MULTIS004-1,UL,LP
070_MULTIS004-1,UL,LC
071_MULTIS004-1,UL,LD
072_MULTIS004-1,LL,LP
073_MULTIS004-1,LL,LC
075_MULTIS004-1,UL,MC
076_MULTIS004-1,UL,MD
077_MULTIS004-1,UL,MP
078_MULTIS004-1,LL,MP
079_MULTIS004-1,LL,MC
