Name,Extremity,Position
001_MULTIS031-1,UA,AP
002_MULTIS031-1,UA,AC
004_MULTIS031-1,UA,AD
005_MULTIS031-1,UA,LP
006_MULTIS031-1,UA,LC
007_MULTIS031-1,UA,LD
008_MULTIS031-1,UA,MP
009_MULTIS031-1,UA,MC
010_MULTIS031-1,UA,MD
011_MULTIS031-1,LA,AP
012_MULTIS031-1,LA,AC
014_MULTIS031-1,LA,AD
015_MULTIS031-1,LA,LP
016_MULTIS031-1,LA,LC
017_MULTIS031-1,LA,LD
018_MULTIS031-1,LA,MP
020_MULTIS031-1,LA,MC
021_MULTIS031-1,LA,MD
022_MULTIS031-1,LL,LP
023_MULTIS031-1,LL,LC
024_MULTIS031-1,LL,LD
025_MULTIS031-1,LL,AD
026_MULTIS031-1,LL,MD
027_MULTIS031-1,LA,PP
028_MULTIS031-1,LA,PC
030_MULTIS031-1,LA,PD
031_MULTIS031-1,LL,PD
033_MULTIS031-1,UL,PP
034_MULTIS031-1,UL,PC
036_MULTIS031-1,UL,PD
037_MULTIS031-1,LL,PP
038_MULTIS031-1,LL,PC
040_MULTIS031-1,UA,PP
041_MULTIS031-1,UA,PC
043_MULTIS031-1,UA,PD
044_MULTIS031-1,UL,AP
045_MULTIS031-1,UL,AC
047_MULTIS031-1,UL,AD
048_MULTIS031-1,UL,LP
049_MULTIS031-1,UL,LC
050_MULTIS031-1,UL,LD
051_MULTIS031-1,UL,MP
052_MULTIS031-1,UL,MC
053_MULTIS031-1,UL,MD
054_MULTIS031-1,LL,AP
056_MULTIS031-1,LL,AC
058_MULTIS031-1,LL,MP
059_MULTIS031-1,LL,MC
