Name,Skin,Fat,Muscle
001_MULTIS074-1,1.19819891613,9.31932490323,11.5825895226
002_MULTIS074-1,1.02702829578,2.39639935682,30.8108488734
004_MULTIS074-1,1.19819967841,2.8243278134,31.9234628605
005_MULTIS074-1,1.97797821935,5.8578585727,21.3773799861
006_MULTIS074-1,1.97797821935,5.02102163375,20.6166191325
007_MULTIS074-1,1.29329345112,6.46646725558,22.6706734372
008_MULTIS074-1,1.06506519504,1.97797821935,29.7457493757
009_MULTIS074-1,1.1126139871,4.79279871365,29.6982348864
010_MULTIS074-1,1.36937106104,5.39189855285,31.4099487127
011_MULTIS074-1,1.13163230968,4.06056299355,23.431445471
012_MULTIS074-1,1.36937106104,5.249255734,14.8348531613
014_MULTIS074-1,1.56019124082,5.93393465806,6.50450529826
015_MULTIS074-1,1.18906029901,1.97797821935,22.8989016933
016_MULTIS074-1,1.44544562184,3.11911949975,7.41741832258
017_MULTIS074-1,1.571857,2.70790118449,3.42342765261
018_MULTIS074-1,1.16652294305,3.08108488734,32.6081483911
019_MULTIS074-1,1.5215217072,3.04304341439,24.952955998
020_MULTIS074-1,1.54101606241,3.25225626998,7.24625519801
022_MULTIS074-1,1.59759957122,1.7117138263,16.2042242223
023_MULTIS074-1,1.29329345112,3.27127167047,23.8118147176
024_MULTIS074-1,1.88288520893,2.59609930323,4.10811318313
025_MULTIS074-1,1.5215217072,4.11427493275,25.7075505283
026_MULTIS074-1,1.61819662221,6.65666191563,30.8108351524
028_MULTIS074-1,1.48348531613,1.76877095385,19.9129375127
029_MULTIS074-1,1.36937106104,1.88288520893,17.9729951762
031_MULTIS074-1,1.99699946402,3.16667057866,4.42192738462
032_MULTIS074-1,1.2362372129,1.80680823424,37.467497068
033_MULTIS074-1,1.82329399504,11.4139006452,52.1880202481
034_MULTIS074-1,2.13012327543,8.06403811414,54.165991861
036_MULTIS074-1,1.99699057072,6.13361389578,53.0628923077
037_MULTIS074-1,1.42642183623,7.56003573201,53.6334610422
038_MULTIS074-1,1.46445975186,9.45242203474,47.3952428784
040_MULTIS074-1,2.51051361191,5.13514147891,39.0270752397
041_MULTIS074-1,1.6166178938,5.42042470273,25.5806007901
043_MULTIS074-1,1.53103194839,5.05906209032,17.1076178581
044_MULTIS074-1,2.22522721191,6.42843416774,40.9194559524
045_MULTIS074-1,1.77827903524,5.85786035136,29.9169296516
047_MULTIS074-1,2.0553172866,13.541543194,13.9219236208
048_MULTIS074-1,1.99699057072,4.26024655087,43.6675271464
049_MULTIS074-1,1.7117138263,3.65165616278,43.5916454432
050_MULTIS074-1,1.71171306402,3.99399714938,30.8108351524
051_MULTIS074-1,2.28227493797,19.3232611414,42.9067688337
052_MULTIS074-1,2.92891950372,7.72169687345,41.2711384615
053_MULTIS074-1,1.6166178938,6.65666191563,24.9149345985
055_MULTIS074-1,2.19669763176,5.6486510531,32.3228365816
056_MULTIS074-1,2.5960984139,1.73073227593,50.067612268
058_MULTIS074-1,1.55925904715,3.07158328536,79.8611654194
059_MULTIS074-1,1.29329929529,4.36488512159,67.5748881787
