Name,Extremity,Position
002_MULTIS045-1,UA,AP
003_MULTIS045-1,UA,AC
005_MULTIS045-1,UA,AD
006_MULTIS045-1,UA,LP
007_MULTIS045-1,UA,LC
008_MULTIS045-1,UA,LD
009_MULTIS045-1,UA,MP
010_MULTIS045-1,UA,MC
012_MULTIS045-1,UA,MD
013_MULTIS045-1,LA,AP
016_MULTIS045-1,LA,AC
018_MULTIS045-1,LA,AD
019_MULTIS045-1,LA,LP
020_MULTIS045-1,LA,LC
021_MULTIS045-1,LA,LD
022_MULTIS045-1,LA,MP
023_MULTIS045-1,LA,MC
024_MULTIS045-1,LA,MD
025_MULTIS045-1,LL,LP
026_MULTIS045-1,LL,LC
027_MULTIS045-1,LL,LD
028_MULTIS045-1,LL,AD
029_MULTIS045-1,LL,MD
030_MULTIS045-1,LA,PP
031_MULTIS045-1,LA,PC
034_MULTIS045-1,LA,PD
035_MULTIS045-1,LL,PD
036_MULTIS045-1,UL,PP
037_MULTIS045-1,UL,PC
039_MULTIS045-1,UL,PD
040_MULTIS045-1,LL,PP
041_MULTIS045-1,LL,PC
044_MULTIS045-1,UA,PP
045_MULTIS045-1,UA,PC
047_MULTIS045-1,UA,PD
048_MULTIS045-1,UL,AP
049_MULTIS045-1,UL,AC
051_MULTIS045-1,UL,AD
052_MULTIS045-1,UL,LP
053_MULTIS045-1,UL,LC
054_MULTIS045-1,UL,LD
055_MULTIS045-1,UL,MP
056_MULTIS045-1,UL,MC
057_MULTIS045-1,UL,MD
058_MULTIS045-1,LL,AP
059_MULTIS045-1,LL,AC
061_MULTIS045-1,LL,MP
062_MULTIS045-1,LL,MC
