Name,Extremity,Position
001_MULTIS082-1,UA,AP
002_MULTIS082-1,UA,AC
004_MULTIS082-1,UA,AD
005_MULTIS082-1,UA,LP
006_MULTIS082-1,UA,LC
007_MULTIS082-1,UA,LD
008_MULTIS082-1,UA,MP
009_MULTIS082-1,UA,MC
010_MULTIS082-1,UA,MD
011_MULTIS082-1,LA,AP
012_MULTIS082-1,LA,AC
014_MULTIS082-1,LA,AD
015_MULTIS082-1,LA,LP
016_MULTIS082-1,LA,LC
017_MULTIS082-1,LA,LD
018_MULTIS082-1,LA,MP
019_MULTIS082-1,LA,MC
020_MULTIS082-1,LA,MD
021_MULTIS082-1,LL,LP
022_MULTIS082-1,LL,LC
023_MULTIS082-1,LL,LD
024_MULTIS082-1,LL,AD
025_MULTIS082-1,LL,MD
026_MULTIS082-1,LA,PP
027_MULTIS082-1,LA,PC
029_MULTIS082-1,LA,PD
030_MULTIS082-1,LL,PD
031_MULTIS082-1,UL,PP
032_MULTIS082-1,UL,PC
034_MULTIS082-1,UL,PD
035_MULTIS082-1,LL,PP
036_MULTIS082-1,LL,PC
038_MULTIS082-1,UA,PP
039_MULTIS082-1,UA,PC
041_MULTIS082-1,UA,PD
042_MULTIS082-1,UL,AP
043_MULTIS082-1,UL,AC
045_MULTIS082-1,UL,AD
046_MULTIS082-1,UL,LP
047_MULTIS082-1,UL,LC
048_MULTIS082-1,UL,LD
049_MULTIS082-1,UL,MP
050_MULTIS082-1,UL,MC
051_MULTIS082-1,UL,MD
054_MULTIS082-1,LL,AP
055_MULTIS082-1,LL,AC
057_MULTIS082-1,LL,MP
058_MULTIS082-1,LL,MC
