Name,Skin,Fat,Muscle
001_MULTIS034-1,1.06506519504,7.15115202382,21.9099125836
002_MULTIS034-1,1.36937106104,3.25225626998,33.5495909955
005_MULTIS034-1,1.14114204268,2.56756959603,37.467497068
006_MULTIS034-1,2.90991350471,12.495510932,17.6306524109
007_MULTIS034-1,2.35835864615,11.0310323772,19.3233256814
008_MULTIS034-1,1.901902134,11.1071084625,20.3883908764
009_MULTIS034-1,0.988989109677,4.56456512159,24.3443473151
010_MULTIS034-1,1.01085051551,4.84985368139,37.3724018978
011_MULTIS034-1,0.950951702233,4.18418748983,37.5625922382
012_MULTIS034-1,1.26513638437,4.03203252407,23.887890803
013_MULTIS034-1,1.59759957122,5.42042711663,15.1771959266
015_MULTIS034-1,2.35835864615,4.75475533499,8.67267373102
016_MULTIS034-1,1.5215217072,4.41241295087,27.8438472417
017_MULTIS034-1,1.67367387792,2.89089124367,8.5205215603
018_MULTIS034-1,1.56907100744,2.16817084665,5.33484142531
019_MULTIS034-1,1.77827903524,2.71972087742,41.1096271087
020_MULTIS034-1,1.3912311964,2.47247442581,37.1822115573
021_MULTIS034-1,1.99699946402,2.79579924963,21.2252514462
022_MULTIS034-1,2.13013140645,3.39489692903,21.0350476387
023_MULTIS034-1,2.0635648,3.9939963871,20.7022146065
024_MULTIS034-1,1.65497612965,0.209209933499,3.2332444268
025_MULTIS034-1,2.86236407742,7.25576010323,20.1696817548
026_MULTIS034-1,1.42642755335,6.75175708586,35.4704984933
027_MULTIS034-1,1.36937106104,2.45345648437,20.0841088953
028_MULTIS034-1,1.17708185484,2.56757073945,18.7147378342
030_MULTIS034-1,1.65959534454,3.04304341439,8.44444547494
031_MULTIS034-1,1.53912158747,2.8257486696,31.23877733
033_MULTIS034-1,2.4344266005,8.52049310174,57.5133284367
034_MULTIS034-1,1.9779716129,6.99897647643,58.730541737
036_MULTIS034-1,1.82581995037,5.93391483871,57.5133284367
037_MULTIS034-1,1.42642183623,4.56454987593,57.6274421836
039_MULTIS034-1,1.71170620347,7.98796228288,56.0583781638
041_MULTIS034-1,2.34885094591,9.27178004963,40.4249610164
042_MULTIS034-1,1.80522950583,6.75333581427,29.8598834501
044_MULTIS034-1,1.53103194839,4.92592887742,17.7067173161
045_MULTIS034-1,1.99699057072,7.32229875931,48.060906402
046_MULTIS034-1,1.9874883335,5.85786035136,33.6826970203
048_MULTIS034-1,2.79579747097,9.58559132903,14.9774864516
049_MULTIS034-1,3.34733657568,9.73770640199,50.5143519603
050_MULTIS034-1,1.73073227593,5.31582056179,47.2242663861
051_MULTIS034-1,2.51051157916,5.85786035136,34.1011156169
052_MULTIS034-1,2.58659859057,14.38795466,54.8035576377
053_MULTIS034-1,2.66265409429,11.9819434243,41.9368019851
054_MULTIS034-1,2.30130228089,6.69469754442,32.0090226342
055_MULTIS034-1,2.56756959603,3.33603886712,33.5608871795
056_MULTIS034-1,2.48198504814,4.62162733102,30.3829204169
058_MULTIS034-1,1.3870365,5.23024516129,
059_MULTIS034-1,1.88289079901,6.16218806948,
