Name,Extremity,Position
001_MULTIS033-1,UA,AP
002_MULTIS033-1,UA,AC
004_MULTIS033-1,UA,AD
005_MULTIS033-1,UA,LP
006_MULTIS033-1,UA,LC
007_MULTIS033-1,UA,LD
008_MULTIS033-1,UA,MP
009_MULTIS033-1,UA,MC
010_MULTIS033-1,UA,MD
012_MULTIS033-1,LA,AP
013_MULTIS033-1,LA,AC
015_MULTIS033-1,LA,AD
016_MULTIS033-1,LA,LP
017_MULTIS033-1,LA,LC
018_MULTIS033-1,LA,LD
019_MULTIS033-1,LA,MP
020_MULTIS033-1,LA,MC
021_MULTIS033-1,LA,MD
024_MULTIS033-1,LL,LP
025_MULTIS033-1,LL,LC
026_MULTIS033-1,LL,LD
027_MULTIS033-1,LL,AD
028_MULTIS033-1,LL,MD
029_MULTIS033-1,LA,PP
030_MULTIS033-1,LA,PC
032_MULTIS033-1,LA,PD
033_MULTIS033-1,LL,PD
035_MULTIS033-1,UL,PP
036_MULTIS033-1,UL,PC
038_MULTIS033-1,UL,PD
039_MULTIS033-1,LL,PP
040_MULTIS033-1,LL,PC
043_MULTIS033-1,UA,PP
044_MULTIS033-1,UA,PC
046_MULTIS033-1,UA,PD
047_MULTIS033-1,UL,AP
048_MULTIS033-1,UL,AC
050_MULTIS033-1,UL,AD
051_MULTIS033-1,UL,LP
052_MULTIS033-1,UL,LC
053_MULTIS033-1,UL,LD
054_MULTIS033-1,UL,MP
055_MULTIS033-1,UL,MC
056_MULTIS033-1,UL,MD
057_MULTIS033-1,LL,AP
058_MULTIS033-1,LL,AC
060_MULTIS033-1,LL,MP
062_MULTIS033-1,LL,MC
