Name,Extremity,Position
001_MULTIS098-1,UA,AP
002_MULTIS098-1,UA,AC
004_MULTIS098-1,UA,AD
005_MULTIS098-1,UA,LC
006_MULTIS098-1,UA,LD
007_MULTIS098-1,UA,MP
008_MULTIS098-1,UA,MC
009_MULTIS098-1,UA,MD
010_MULTIS098-1,LA,AP
011_MULTIS098-1,LA,AC
013_MULTIS098-1,LA,AD
014_MULTIS098-1,LA,LP
015_MULTIS098-1,LA,LC
016_MULTIS098-1,LA,LD
017_MULTIS098-1,LA,MP
018_MULTIS098-1,LA,MC
019_MULTIS098-1,LA,MD
020_MULTIS098-1,LL,LP
021_MULTIS098-1,LL,LC
022_MULTIS098-1,LL,LD
023_MULTIS098-1,LA,PP
025_MULTIS098-1,LA,PC
027_MULTIS098-1,LA,PD
028_MULTIS098-1,LL,PD
029_MULTIS098-1,UL,PC
031_MULTIS098-1,UL,PP
032_MULTIS098-1,UL,PD
033_MULTIS098-1,LL,PP
034_MULTIS098-1,LL,PC
036_MULTIS098-1,UA,PP
037_MULTIS098-1,UA,PC
039_MULTIS098-1,UA,PD
040_MULTIS098-1,UA,LP
041_MULTIS098-1,UL,AP
042_MULTIS098-1,UL,AC
044_MULTIS098-1,UL,AD
045_MULTIS098-1,UL,LP
046_MULTIS098-1,UL,LC
047_MULTIS098-1,UL,LD
048_MULTIS098-1,UL,MP
049_MULTIS098-1,UL,MC
050_MULTIS098-1,UL,MD
051_MULTIS098-1,LL,AP
054_MULTIS098-1,LL,AC
056_MULTIS098-1,LL,AD
057_MULTIS098-1,LL,MD
058_MULTIS098-1,LL,MP
059_MULTIS098-1,LL,MC
