Name,Extremity,Position
001_MULTIS056-1,UA,AP
002_MULTIS056-1,UA,AC
004_MULTIS056-1,UA,AD
005_MULTIS056-1,UA,LP
006_MULTIS056-1,UA,LC
007_MULTIS056-1,UA,LD
008_MULTIS056-1,UA,MP
009_MULTIS056-1,UA,MC
010_MULTIS056-1,UA,MD
011_MULTIS056-1,LA,AP
012_MULTIS056-1,LA,AC
014_MULTIS056-1,LA,AD
015_MULTIS056-1,LA,LP
017_MULTIS056-1,LA,LC
018_MULTIS056-1,LA,LD
019_MULTIS056-1,LA,MP
020_MULTIS056-1,LA,MC
021_MULTIS056-1,LA,MD
022_MULTIS056-1,LL,LP
023_MULTIS056-1,LL,LC
024_MULTIS056-1,LL,LD
025_MULTIS056-1,LL,AD
026_MULTIS056-1,LL,MD
027_MULTIS056-1,LA,PP
028_MULTIS056-1,LA,PC
030_MULTIS056-1,LA,PD
032_MULTIS056-1,LL,PD
034_MULTIS056-1,UL,PP
035_MULTIS056-1,UL,PC
037_MULTIS056-1,UL,PD
038_MULTIS056-1,LL,PP
039_MULTIS056-1,LL,PC
041_MULTIS056-1,UA,PP
042_MULTIS056-1,UA,PC
044_MULTIS056-1,UA,PD
045_MULTIS056-1,UL,AP
046_MULTIS056-1,UL,AC
048_MULTIS056-1,UL,AD
049_MULTIS056-1,UL,LP
050_MULTIS056-1,UL,LC
051_MULTIS056-1,UL,LD
052_MULTIS056-1,UL,MP
053_MULTIS056-1,UL,MC
054_MULTIS056-1,UL,MD
056_MULTIS056-1,LL,AP
057_MULTIS056-1,LL,AC
059_MULTIS056-1,LL,MP
060_MULTIS056-1,LL,MC
