Name,Extremity,Position
001_MULTIS081-1,UA,AP
002_MULTIS081-1,UA,AC
005_MULTIS081-1,UA,AD
006_MULTIS081-1,UA,LP
007_MULTIS081-1,UA,LC
008_MULTIS081-1,UA,LD
009_MULTIS081-1,UA,MP
011_MULTIS081-1,UA,MC
012_MULTIS081-1,UA,MD
013_MULTIS081-1,LA,AP
014_MULTIS081-1,LA,AC
016_MULTIS081-1,LA,AD
017_MULTIS081-1,LA,LP
018_MULTIS081-1,LA,LC
019_MULTIS081-1,LA,LD
020_MULTIS081-1,LA,MP
021_MULTIS081-1,LA,MC
022_MULTIS081-1,LA,MD
023_MULTIS081-1,LL,LP
024_MULTIS081-1,LL,LC
025_MULTIS081-1,LL,LD
026_MULTIS081-1,LL,AD
028_MULTIS081-1,LL,MD
029_MULTIS081-1,LA,PP
030_MULTIS081-1,LA,PC
032_MULTIS081-1,LA,PD
034_MULTIS081-1,LL,PD
035_MULTIS081-1,UL,PP
036_MULTIS081-1,UL,PC
038_MULTIS081-1,UL,PD
039_MULTIS081-1,LL,PP
040_MULTIS081-1,LL,PC
042_MULTIS081-1,UA,PP
043_MULTIS081-1,UA,PC
045_MULTIS081-1,UA,PD
046_MULTIS081-1,UL,AP
047_MULTIS081-1,UL,AC
049_MULTIS081-1,UL,AD
052_MULTIS081-1,UL,LP
053_MULTIS081-1,UL,LC
054_MULTIS081-1,UL,LD
055_MULTIS081-1,UL,MP
056_MULTIS081-1,UL,MC
057_MULTIS081-1,UL,MD
060_MULTIS081-1,LL,AP
061_MULTIS081-1,LL,AC
063_MULTIS081-1,LL,MP
064_MULTIS081-1,LL,MC
