Name,Extremity,Position
003_MULTIS017-1,UA,AP
004_MULTIS017-1,UA,AC
006_MULTIS017-1,UA,AD
007_MULTIS017-1,UA,LP
008_MULTIS017-1,UA,LC
010_MULTIS017-1,UA,LD
011_MULTIS017-1,UA,MP
012_MULTIS017-1,UA,MC
013_MULTIS017-1,UA,MD
014_MULTIS017-1,LA,AP
015_MULTIS017-1,LA,AC
017_MULTIS017-1,LA,AD
018_MULTIS017-1,LA,LP
019_MULTIS017-1,LA,LC
020_MULTIS017-1,LA,LD
022_MULTIS017-1,LA,MP
023_MULTIS017-1,LA,MC
024_MULTIS017-1,LA,MD
025_MULTIS017-1,LL,LP
026_MULTIS017-1,LL,LC
027_MULTIS017-1,LL,LD
028_MULTIS017-1,LL,AD
029_MULTIS017-1,LL,MD
030_MULTIS017-1,LA,PP
031_MULTIS017-1,LA,PC
033_MULTIS017-1,LA,PD
034_MULTIS017-1,LL,PD
035_MULTIS017-1,UL,PP
036_MULTIS017-1,UL,PC
038_MULTIS017-1,UL,PD
039_MULTIS017-1,LL,PP
040_MULTIS017-1,LL,PC
043_MULTIS017-1,UA,PP
044_MULTIS017-1,UA,PC
046_MULTIS017-1,UA,PD
047_MULTIS017-1,UL,AP
048_MULTIS017-1,UL,AC
050_MULTIS017-1,UL,AD
051_MULTIS017-1,UL,LP
052_MULTIS017-1,UL,LC
053_MULTIS017-1,UL,LD
055_MULTIS017-1,UL,MP
056_MULTIS017-1,UL,MC
057_MULTIS017-1,UL,MD
058_MULTIS017-1,LL,AP
059_MULTIS017-1,LL,AC
061_MULTIS017-1,LL,MP
062_MULTIS017-1,LL,MC
