Name,Extremity,Position
001_MULTIS018-1,UA,AP
002_MULTIS018-1,UA,AC
004_MULTIS018-1,UA,AD
005_MULTIS018-1,UA,LP
006_MULTIS018-1,UA,LC
007_MULTIS018-1,UA,LD
008_MULTIS018-1,UA,MP
009_MULTIS018-1,UA,MC
010_MULTIS018-1,UA,MD
011_MULTIS018-1,LA,AP
012_MULTIS018-1,LA,AC
014_MULTIS018-1,LA,AD
015_MULTIS018-1,LA,LP
016_MULTIS018-1,LA,LC
017_MULTIS018-1,LA,LD
018_MULTIS018-1,LA,MP
019_MULTIS018-1,LA,MC
020_MULTIS018-1,LA,MD
022_MULTIS018-1,LL,LP
023_MULTIS018-1,LL,LC
025_MULTIS018-1,LL,LD
026_MULTIS018-1,LL,AD
027_MULTIS018-1,LL,MD
028_MULTIS018-1,LA,PP
031_MULTIS018-1,LA,PC
033_MULTIS018-1,LA,PD
034_MULTIS018-1,LL,PD
035_MULTIS018-1,UL,PP
036_MULTIS018-1,UL,PC
039_MULTIS018-1,UL,PD
040_MULTIS018-1,LL,PP
041_MULTIS018-1,LL,PC
043_MULTIS018-1,UA,PP
044_MULTIS018-1,UA,PC
046_MULTIS018-1,UA,PD
047_MULTIS018-1,UL,AP
048_MULTIS018-1,UL,AC
050_MULTIS018-1,UL,AD
051_MULTIS018-1,UL,LP
052_MULTIS018-1,UL,LC
053_MULTIS018-1,UL,LD
054_MULTIS018-1,UL,MP
055_MULTIS018-1,UL,MC
056_MULTIS018-1,UL,MD
057_MULTIS018-1,LL,AP
058_MULTIS018-1,LL,AC
060_MULTIS018-1,LL,MP
061_MULTIS018-1,LL,MC
