Name,Extremity,Position
001_MULTIS088-1,UA,AP
002_MULTIS088-1,UA,AC
004_MULTIS088-1,UA,AD
032_MULTIS088-1,UL,PP
033_MULTIS088-1,UL,PC
035_MULTIS088-1,UL,PD
036_MULTIS088-1,LL,PP
037_MULTIS088-1,LL,PC
039_MULTIS088-1,UA,PP
040_MULTIS088-1,UA,PC
042_MULTIS088-1,UA,PD
043_MULTIS088-1,LL,PD
045_MULTIS088-1,UL,AP
046_MULTIS088-1,UL,AC
048_MULTIS088-1,UL,AD
050_MULTIS088-1,UL,LC
051_MULTIS088-1,UL,LP
052_MULTIS088-1,UL,LD
053_MULTIS088-1,UL,MP
055_MULTIS088-1,UL,MC
057_MULTIS088-1,UL,MD
064_MULTIS088-1,LL,AP
065_MULTIS088-1,LL,AC
067_MULTIS088-1,LL,MP
068_MULTIS088-1,LL,MC
069_MULTIS088-1,LL,LP
070_MULTIS088-1,LL,LC
071_MULTIS088-1,LL,LD
072_MULTIS088-1,LL,AD
073_MULTIS088-1,LL,MD
074_MULTIS088-1,UA,LP
075_MULTIS088-1,UA,LC
076_MULTIS088-1,UA,LD
077_MULTIS088-1,UA,MP
078_MULTIS088-1,UA,MC
079_MULTIS088-1,UA,MD
080_MULTIS088-1,LA,AP
081_MULTIS088-1,LA,AC
083_MULTIS088-1,LA,AD
084_MULTIS088-1,LA,LP
085_MULTIS088-1,LA,LC
086_MULTIS088-1,LA,LD
087_MULTIS088-1,LA,MP
088_MULTIS088-1,LA,MC
089_MULTIS088-1,LA,MD
090_MULTIS088-1,LA,PP
091_MULTIS088-1,LA,PC
093_MULTIS088-1,LA,PD
