Name,Extremity,Position
001_MULTIS043-1,UA,AP
002_MULTIS043-1,UA,AC
004_MULTIS043-1,UA,AD
005_MULTIS043-1,UA,LP
006_MULTIS043-1,UA,LC
007_MULTIS043-1,UA,LD
008_MULTIS043-1,UA,MP
009_MULTIS043-1,UA,MC
010_MULTIS043-1,UA,MD
011_MULTIS043-1,LA,AP
012_MULTIS043-1,LA,AC
014_MULTIS043-1,LA,AD
015_MULTIS043-1,LA,LP
016_MULTIS043-1,LA,LC
017_MULTIS043-1,LA,LD
018_MULTIS043-1,LA,MP
019_MULTIS043-1,LA,MC
020_MULTIS043-1,LA,MD
021_MULTIS043-1,LL,LP
022_MULTIS043-1,LL,LC
023_MULTIS043-1,LL,LD
025_MULTIS043-1,LL,AD
026_MULTIS043-1,LL,MD
027_MULTIS043-1,LA,PP
028_MULTIS043-1,LA,PC
030_MULTIS043-1,LA,PD
031_MULTIS043-1,LL,PD
032_MULTIS043-1,UL,PP
033_MULTIS043-1,UL,PC
035_MULTIS043-1,UL,PD
036_MULTIS043-1,LL,PP
037_MULTIS043-1,LL,PC
039_MULTIS043-1,UA,PP
040_MULTIS043-1,UA,PC
043_MULTIS043-1,UA,PD
044_MULTIS043-1,UL,AP
045_MULTIS043-1,UL,AC
047_MULTIS043-1,UL,AD
048_MULTIS043-1,UL,LP
049_MULTIS043-1,UL,LC
050_MULTIS043-1,UL,LD
051_MULTIS043-1,UL,MP
052_MULTIS043-1,UL,MC
053_MULTIS043-1,UL,MD
056_MULTIS043-1,LL,AP
057_MULTIS043-1,LL,AC
059_MULTIS043-1,LL,MP
060_MULTIS043-1,LL,MC
